data,ano,mes,dia_mes,dia_seman,fds
2015-01-01,2015,1,1,5,FALSO
2015-01-02,2015,1,2,6,VERDADEIRO
2015-01-03,2015,1,3,7,VERDADEIRO
2015-01-04,2015,1,4,1,FALSO
2015-01-05,2015,1,5,2,FALSO
2015-01-06,2015,1,6,3,FALSO
2015-01-07,2015,1,7,4,FALSO
2015-01-08,2015,1,8,5,FALSO
2015-01-09,2015,1,9,6,VERDADEIRO
2015-01-10,2015,1,10,7,VERDADEIRO
2015-01-11,2015,1,11,1,FALSO
2015-01-12,2015,1,12,2,FALSO
2015-01-13,2015,1,13,3,FALSO
2015-01-14,2015,1,14,4,FALSO
2015-01-15,2015,1,15,5,FALSO
2015-01-16,2015,1,16,6,VERDADEIRO
2015-01-17,2015,1,17,7,VERDADEIRO
2015-01-18,2015,1,18,1,FALSO
2015-01-19,2015,1,19,2,FALSO
2015-01-20,2015,1,20,3,FALSO
2015-01-21,2015,1,21,4,FALSO
2015-01-22,2015,1,22,5,FALSO
2015-01-23,2015,1,23,6,VERDADEIRO
2015-01-24,2015,1,24,7,VERDADEIRO
2015-01-25,2015,1,25,1,FALSO
2015-01-26,2015,1,26,2,FALSO
2015-01-27,2015,1,27,3,FALSO
2015-01-28,2015,1,28,4,FALSO
2015-01-29,2015,1,29,5,FALSO
2015-01-30,2015,1,30,6,VERDADEIRO
2015-01-31,2015,1,31,7,VERDADEIRO
2015-02-01,2015,2,1,1,FALSO
2015-02-02,2015,2,2,2,FALSO
2015-02-03,2015,2,3,3,FALSO
2015-02-04,2015,2,4,4,FALSO
2015-02-05,2015,2,5,5,FALSO
2015-02-06,2015,2,6,6,VERDADEIRO
2015-02-07,2015,2,7,7,VERDADEIRO
2015-02-08,2015,2,8,1,FALSO
2015-02-09,2015,2,9,2,FALSO
2015-02-10,2015,2,10,3,FALSO
2015-02-11,2015,2,11,4,FALSO
2015-02-12,2015,2,12,5,FALSO
2015-02-13,2015,2,13,6,VERDADEIRO
2015-02-14,2015,2,14,7,VERDADEIRO
2015-02-15,2015,2,15,1,FALSO
2015-02-16,2015,2,16,2,FALSO
2015-02-17,2015,2,17,3,FALSO
2015-02-18,2015,2,18,4,FALSO
2015-02-19,2015,2,19,5,FALSO
2015-02-20,2015,2,20,6,VERDADEIRO
2015-02-21,2015,2,21,7,VERDADEIRO
2015-02-22,2015,2,22,1,FALSO
2015-02-23,2015,2,23,2,FALSO
2015-02-24,2015,2,24,3,FALSO
2015-02-25,2015,2,25,4,FALSO
2015-02-26,2015,2,26,5,FALSO
2015-02-27,2015,2,27,6,VERDADEIRO
2015-02-28,2015,2,28,7,VERDADEIRO
2015-03-01,2015,3,1,1,FALSO
2015-03-02,2015,3,2,2,FALSO
2015-03-03,2015,3,3,3,FALSO
2015-03-04,2015,3,4,4,FALSO
2015-03-05,2015,3,5,5,FALSO
2015-03-06,2015,3,6,6,VERDADEIRO
2015-03-07,2015,3,7,7,VERDADEIRO
2015-03-08,2015,3,8,1,FALSO
2015-03-09,2015,3,9,2,FALSO
2015-03-10,2015,3,10,3,FALSO
2015-03-11,2015,3,11,4,FALSO
2015-03-12,2015,3,12,5,FALSO
2015-03-13,2015,3,13,6,VERDADEIRO
2015-03-14,2015,3,14,7,VERDADEIRO
2015-03-15,2015,3,15,1,FALSO
2015-03-16,2015,3,16,2,FALSO
2015-03-17,2015,3,17,3,FALSO
2015-03-18,2015,3,18,4,FALSO
2015-03-19,2015,3,19,5,FALSO
2015-03-20,2015,3,20,6,VERDADEIRO
2015-03-21,2015,3,21,7,VERDADEIRO
2015-03-22,2015,3,22,1,FALSO
2015-03-23,2015,3,23,2,FALSO
2015-03-24,2015,3,24,3,FALSO
2015-03-25,2015,3,25,4,FALSO
2015-03-26,2015,3,26,5,FALSO
2015-03-27,2015,3,27,6,VERDADEIRO
2015-03-28,2015,3,28,7,VERDADEIRO
2015-03-29,2015,3,29,1,FALSO
2015-03-30,2015,3,30,2,FALSO
2015-03-31,2015,3,31,3,FALSO
2015-04-01,2015,4,1,4,FALSO
2015-04-02,2015,4,2,5,FALSO
2015-04-03,2015,4,3,6,VERDADEIRO
2015-04-04,2015,4,4,7,VERDADEIRO
2015-04-05,2015,4,5,1,FALSO
2015-04-06,2015,4,6,2,FALSO
2015-04-07,2015,4,7,3,FALSO
2015-04-08,2015,4,8,4,FALSO
2015-04-09,2015,4,9,5,FALSO
2015-04-10,2015,4,10,6,VERDADEIRO
2015-04-11,2015,4,11,7,VERDADEIRO
2015-04-12,2015,4,12,1,FALSO
2015-04-13,2015,4,13,2,FALSO
2015-04-14,2015,4,14,3,FALSO
2015-04-15,2015,4,15,4,FALSO
2015-04-16,2015,4,16,5,FALSO
2015-04-17,2015,4,17,6,VERDADEIRO
2015-04-18,2015,4,18,7,VERDADEIRO
2015-04-19,2015,4,19,1,FALSO
2015-04-20,2015,4,20,2,FALSO
2015-04-21,2015,4,21,3,FALSO
2015-04-22,2015,4,22,4,FALSO
2015-04-23,2015,4,23,5,FALSO
2015-04-24,2015,4,24,6,VERDADEIRO
2015-04-25,2015,4,25,7,VERDADEIRO
2015-04-26,2015,4,26,1,FALSO
2015-04-27,2015,4,27,2,FALSO
2015-04-28,2015,4,28,3,FALSO
2015-04-29,2015,4,29,4,FALSO
2015-04-30,2015,4,30,5,FALSO
2015-05-01,2015,5,1,6,VERDADEIRO
2015-05-02,2015,5,2,7,VERDADEIRO
2015-05-03,2015,5,3,1,FALSO
2015-05-04,2015,5,4,2,FALSO
2015-05-05,2015,5,5,3,FALSO
2015-05-06,2015,5,6,4,FALSO
2015-05-07,2015,5,7,5,FALSO
2015-05-08,2015,5,8,6,VERDADEIRO
2015-05-09,2015,5,9,7,VERDADEIRO
2015-05-10,2015,5,10,1,FALSO
2015-05-11,2015,5,11,2,FALSO
2015-05-12,2015,5,12,3,FALSO
2015-05-13,2015,5,13,4,FALSO
2015-05-14,2015,5,14,5,FALSO
2015-05-15,2015,5,15,6,VERDADEIRO
2015-05-16,2015,5,16,7,VERDADEIRO
2015-05-17,2015,5,17,1,FALSO
2015-05-18,2015,5,18,2,FALSO
2015-05-19,2015,5,19,3,FALSO
2015-05-20,2015,5,20,4,FALSO
2015-05-21,2015,5,21,5,FALSO
2015-05-22,2015,5,22,6,VERDADEIRO
2015-05-23,2015,5,23,7,VERDADEIRO
2015-05-24,2015,5,24,1,FALSO
2015-05-25,2015,5,25,2,FALSO
2015-05-26,2015,5,26,3,FALSO
2015-05-27,2015,5,27,4,FALSO
2015-05-28,2015,5,28,5,FALSO
